ID	DOCULECT	CONCEPT	VALUE	IPA	TOKENS	SEGMENTS	MORPHEMES	COGIDS	AUTOID	STRICTID	LOOSEID	CHARACTERS_IS	CHARACTERS	LEXEME_NOTE	CONCEPT_CHINESE	STRUCTURE	NOTE
127	Chengdu	wife	ȵy⁵³⁻⁴⁵ li⁵⁵	ɲy⁵³+li⁵⁵	ɲ y ⁵³ + l i ⁵⁵	ɲ y ⁴⁵/⁵³ + l i ⁵⁵	WIFE _wife	39 40	1101	945	525	女的(婚後	女 的	婚後	妻子	i n t + i n t	
128	Nanjing	wife	lɔ¹¹ pʰo¹³	lɔ¹¹+pʰo¹³	l ɔ ¹¹ + pʰ o ¹³	l ɔ ¹¹ + pʰ o ¹³	_WIFE wife	27 28	1091	938	521	老婆	老 婆		妻子	i n t + i n t	
129	Jixi	wife	nɤ²¹³⁻³² y³¹⁻²¹	nɤ²¹³+y³¹	n ɤ ²¹³ + y ³¹	n ɤ ³²/²¹³ + y ²¹/³¹	_WIFE wife	27 41	1091	946	521	老妪	老 妪		妻子	i n t + n t	
130	Jixi	wife	ȵy²¹³ iɑ̃⁴⁴	ɲy²¹³+jɑ̃⁴⁴	ɲ y ²¹³ + j ɑ̃ ⁴⁴	ɲ y ²¹³ + i ɑ̃ ∼ ⁴⁴	WIFE _wife	39 38	1101	947	525	女人(尊稱對方的妻子)	女 人	尊稱對方的妻子	妻子	i n t + m n c t	
131	Suzhou	wife	kɑ⁴⁴ tsʯ⁵²⁻⁴⁴ bu¹³⁻²¹	kɑ⁴⁴+tsʯ⁵²+bu¹³	k ɑ ⁴⁴ + ts ʯ ⁵² + b u ¹³	k ɑ ⁴⁴ + ts ʯ ⁴⁴/⁵² + b u ²¹/¹³	wife wife WIFE	42 43 28	1092	948	521	家主婆	家 主 婆		妻子	i n t + i n t + i n t	
132	Wenzhou	wife	lə²⁴⁻⁴² y⁴⁴⁻²¹	lə²⁴+y⁴⁴	l ə ²⁴ + y ⁴⁴	l ə ⁴²/²⁴ + y ²¹/⁴⁴	WIFE _wife	27 44	1091	949	521	老安	老 安		妻子	i n t + n t	
133	Changsha	wife	tɕʰi³³ tsɿ⁰	tɕʰi³³+tsɿ⁰	tɕʰ i ³³ + ts ɿ ⁰	tɕʰ i ³³ + ts ɿ ⁰	wife _-:suffix/zi	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
134	Changsha	wife	tan¹³ kʰə⁰	tan¹³+kʰə⁰	t a n ¹³ + kʰ ə ⁰	t a n ¹³ + kʰ ə ⁰	WIFE wife	45 46	1096	950	522	堂客(BC)	堂 客	BC	妻子	i n c t + i n t	
135	Changsha	wife	lei¹¹ tan³³ tɕia³³	lei¹¹+tan³³+tɕja³³	l ei ¹¹ + t a n ³³ + tɕ j a ³³	l e i ¹¹ + t a n ³³ + tɕ i a ³³	wife wife WIFE	47 48 42	1098	951	521	內當家	內 當 家		妻子	i n N t + i n c t + i m n t	
136	Changsha	wife	po¹³ po⁰ tsɿ⁰	po¹³+po⁰+tsɿ⁰	p o ¹³ + p o ⁰ + ts ɿ ⁰	p o ¹³ + p o ⁰ + ts ɿ ⁰	WIFE _wife _-:suffix/zi	28 28 19	1092	952	521	婆婆子(SC)	婆 婆 子	SC	妻子	i n t + i n t + i n t	
137	Loudi	wife	tʰɔŋ¹³ ke¹³⁻³³	tʰɔŋ¹³+ke¹³	tʰ ɔ ŋ ¹³ + k e ¹³	tʰ ɔ ŋ ¹³ + k e ³³/¹³	WIFE wife	45 46	1096	950	522	堂客	堂 客		妻子	i n c t + i n t	
138	Nanchang	wife	tɕʰi⁴² tsɿ⁰	tɕʰi⁴²+tsɿ⁰	tɕʰ i ⁴² + ts ɿ ⁰	tɕʰ i ⁴² + ts ɿ ⁰	wife _WIFE	26 19	1093	937	521	妻子	妻 子		妻子	i n t + i n t	
139	Nanchang	wife	lau²¹³ pʰo⁰	lau²¹³+pʰo⁰	l au ²¹³ + pʰ o ⁰	l a u ²¹³ + pʰ o ⁰	_WIFE wife	27 28	1091	938	521	老婆	老 婆		妻子	i n N t + i n t	
140	Meixian	wife	lau³¹ pʰo¹¹	lau³¹+pʰo¹¹	l au ³¹ + pʰ o ¹¹	l a u ³¹ + pʰ o ¹¹	_WIFE wife	27 28	1091	938	521	老婆	老 婆		妻子	i n N t + i n t	
141	Guilin	wife	lɑu²³ puo²²	lɑu²³+pwo²²	l ɑu ²³ + p w o ²²	l ɑ u ²³ + p u o ²²	_WIFE wife	27 28	1091	938	521	老婆	老 婆		妻子	i n N t + i m n t	
142	Guangzhou	wife	tsʰɐi⁵³ tsi³⁵	tsʰɐi⁵³+tsi³⁵	tsʰ ɐi ⁵³ + ts i ³⁵	tsʰ ɐ i ⁵³ + ts i ³⁵	wife _WIFE	26 19	1093	937	521	妻子	妻 子		妻子	i n N t + i n t	
143	Fuzhou	wife	lo³²⁻³⁵ lieu³²	lo³²+ljeu³²	l o ³² + l j eu ³²	l o ³⁵/³² + l i e u ³²	WIFE wife	27 49	1091	953	521	老小	老 小		妻子	i n t + i m n N t	
144	Fuzhou	wife	lau²⁴²⁻⁵³ ma³²	lau²⁴²+ma³²	l au ²⁴² + m a ³²	l a u ⁵³/²⁴² + m a ³²	_WIFE wife	27 50	1091	954	521	老媽	老 媽		妻子	i n N t + i n t	
145	Fuzhou	wife	lau²⁴²⁻⁵⁵ pʰo⁵³	lau²⁴²+pʰo⁵³	l au ²⁴² + pʰ o ⁵³	l a u ⁵⁵/²⁴² + pʰ o ⁵³	_WIFE wife	27 28	1091	938	521	老婆(谑称)	老 婆	谑称	妻子	i n N t + i n t	
146	Fuzhou	wife	tsʰuo²¹²⁻⁵³ lie³²	tsʰwo²¹²+lje³²	tsʰ w o ²¹² + l j e ³²	tsʰ u o ⁵³/²¹² + l i e ³²	WIFE wife	51 52	1116	955	527	厝里(對人稱呼己妻子)	厝 里	對人稱呼己妻子	妻子	i m n t + i m n t	
147	Xiamen	wife	bɔ⁵³	bɔ⁵³	b ɔ ⁵³	b ɔ ⁵³	WIFE	53	1107	956	524	某～	某		妻子	i n t	
148	Beijing	all	tɕʰyɛn³⁵ pu⁵¹	tɕʰɥɛn³⁵+pu⁵¹	tɕʰ ɥ ɛ n ³⁵ + p u ⁵¹	tɕʰ y ɛ n ³⁵ + p u ⁵¹	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
149	Ha_erbin	all	tɕʰyan²⁴ pu⁵³	tɕʰɥan²⁴+pu⁵³	tɕʰ ɥ a n ²⁴ + p u ⁵³	tɕʰ y a n ²⁴ + p u ⁵³	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
150	Jinan	all	tɕʰyæ̃⁵³ pu³¹	tɕʰɥæ̃⁵³+pu³¹	tɕʰ ɥ æ̃ ⁵³ + p u ³¹	tɕʰ y æ̃ ∼ ⁵³ + p u ³¹	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
151	Rongcheng	all	tsʰiɐn³⁵ pur³³⁴	tsʰjɐn³⁵+pu³³⁴	tsʰ j ɐ n ³⁵ + p u ³³⁴	tsʰ i ɐ n ³⁵ + p u˞/u ³³⁴	ALL _all	54 55	1	4	1	全部兒	全 部		全部	i m n c t + i nr t	
152	Taiyuan	all	tɕʰye²¹ pu⁴⁵	tɕʰɥe²¹+pu⁴⁵	tɕʰ ɥ e ²¹ + p u ⁴⁵	tɕʰ y e ²¹ + p u ⁴⁵	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	
153	Xi_an	all	tsʰuæ̃²⁴ pu⁴⁴	tsʰwæ̃²⁴+pu⁴⁴	tsʰ w æ̃ ²⁴ + p u ⁴⁴	tsʰ u æ̃ ∼ ²⁴ + p u ⁴⁴	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
154	Chengdu	all	tɕʰyan²¹⁻⁵⁵ pu²¹³⁻²¹	tɕʰɥan²¹+pu²¹³	tɕʰ ɥ a n ²¹ + p u ²¹³	tɕʰ y a n ⁵⁵/²¹ + p u ²¹/²¹³	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
155	Nanjing	all	tɕʰyen¹³ pu⁴⁴	tɕʰɥen¹³+pu⁴⁴	tɕʰ ɥ e n ¹³ + p u ⁴⁴	tɕʰ y e n ¹³ + p u ⁴⁴	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
156	Jixi	all	tɕʰyẽ⁴⁴⁻³⁵ pʰu³¹	tɕʰɥẽ⁴⁴+pʰu³¹	tɕʰ ɥ ẽ ⁴⁴ + pʰ u ³¹	tɕʰ y ẽ ∼ ³⁵/⁴⁴ + pʰ u ³¹	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
157	Suzhou	all	ziɪ¹³ bu²³¹⁻²¹	zjɪ¹³+bu²³¹	z j ɪ ¹³ + b u ²³¹	z i ɪ ¹³ + b u ²¹/²³¹	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n t + i n t	
158	Wenzhou	all	jy³⁴¹⁻²⁴ bu²⁴⁻²²	jy³⁴¹+bu²⁴	j y ³⁴¹ + b u ²⁴	j y ²⁴/³⁴¹ + b u ²²/²⁴	ALL _all	54 55	1	4	1	全部	全 部		全部	i n t + i n t	
159	Changsha	all	tɕʰyẽ¹³ pu¹¹	tɕʰɥẽ¹³+pu¹¹	tɕʰ ɥ ẽ ¹³ + p u ¹¹	tɕʰ y ẽ ∼ ¹³ + p u ¹¹	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
160	Loudi	all	dzuĩ¹³ bu¹¹	dzwĩ¹³+bu¹¹	dz w ĩ ¹³ + b u ¹¹	dz u ĩ ∼ ¹³ + b u ¹¹	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
161	Nanchang	all	tɕʰyon²⁴ pu⁰	tɕʰɥon²⁴+pu⁰	tɕʰ ɥ o n ²⁴ + p u ⁰	tɕʰ y o n ²⁴ + p u ⁰	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
162	Meixian	all	tɕʰien¹¹ pʰu⁵³	tɕʰjen¹¹+pʰu⁵³	tɕʰ j e n ¹¹ + pʰ u ⁵³	tɕʰ i e n ¹¹ + pʰ u ⁵³	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
163	Guilin	all	tɕyã²² pu²¹	tɕɥã²²+pu²¹	tɕ ɥ ã ²² + p u ²¹	tɕ y ã ∼ ²² + p u ²¹	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
164	Guangzhou	all	tsʰyn²¹ pou²²	tsʰyn²¹+pou²²	tsʰ y n ²¹ + p ou ²²	tsʰ y n ²¹ + p o u ²²	ALL _all	54 55	1	4	1	全部	全 部		全部	i n c t + i n N t	
165	Fuzhou	all	ko²¹²⁻²¹ louŋ⁵³⁻²¹ ŋa²⁴²	ko²¹²+louŋ⁵³+ŋa²⁴²	k o ²¹² + l ou ŋ ⁵³ + ŋ a ²⁴²	k o ²¹/²¹² + l o u ŋ ²¹/⁵³ + ŋ a ²⁴²	ALL all all	56 57 58	3	5	2	個郎下	個 郎 下		全部	i n t + i n N c t + i n t	
166	Xiamen	all	tsuan²⁴⁻²² pɔ²²	tswan²⁴+pɔ²²	ts w a n ²⁴ + p ɔ ²²	ts u a n ²²/²⁴ + p ɔ ²²	ALL _all	54 55	1	4	1	全部	全 部		全部	i m n c t + i n t	
167	Beijing	hot	ʐɤ⁵¹	ʐɤ⁵¹	ʐ ɤ ⁵¹	ʐ ɤ ⁵¹	HOT	59	405	362	216	熱	熱		熱	i n t	
168	Ha_erbin	hot	ʐy⁵³	ʐy⁵³	ʐ y ⁵³	ʐ y ⁵³	HOT	59	405	362	216	熱	熱		熱	i n t	
169	Jinan	hot	ʐy³¹	ʐy³¹	ʐ y ³¹	ʐ y ³¹	HOT	59	405	362	216	熱	熱		熱	i n t	
170	Rongcheng	hot	iɛ²¹⁴	jɛ²¹⁴	j ɛ ²¹⁴	i ɛ ²¹⁴	HOT	59	405	362	216	熱	熱		熱	m n t	
171	Taiyuan	hot	zəʔ²	zəʔ²	z ə ʔ ²	z ə ʔ ²	HOT	59	405	362	216	熱	熱		熱	i n c t	
172	Xi_an	hot	ʐɤ²¹	ʐɤ²¹	ʐ ɤ ²¹	ʐ ɤ ²¹	HOT	59	405	362	216	熱	熱		熱	i n t	
173	Chengdu	hot	ze²¹	ze²¹	z e ²¹	z e ²¹	HOT	59	405	362	216	熱	熱		熱	i n t	
174	Nanjing	hot	ʐeʔ⁵	ʐeʔ⁵	ʐ e ʔ ⁵	ʐ e ʔ ⁵	HOT	59	405	362	216	熱	熱		熱	i n c t	
175	Jixi	hot	ȵiaʔ³²*	ɲjaʔ³²	ɲ j a ʔ ³²	ɲ i a ʔ ³²*/³²	HOT	59	405	362	216	熱	熱		熱	i m n c t	
176	Suzhou	hot	ȵiɛʔ²³*	ɲjɛʔ²³	ɲ j ɛ ʔ ²³	ɲ i ɛ ʔ ²³*/²³	HOT	59	405	362	216	熱	熱		熱	i m n c t	
177	Wenzhou	hot	ȵi²¹	ɲi²¹	ɲ i ²¹	ɲ i ²¹	HOT	59	405	362	216	熱	熱		熱	i n t	
178	Changsha	hot	ye²⁴	ɥe²⁴	ɥ e ²⁴	y e ²⁴	HOT	59	405	362	216	熱	熱		熱	m n t	
179	Loudi	hot	ie¹³	je¹³	j e ¹³	i e ¹³	HOT	59	405	362	216	熱	熱		熱	m n t	
180	Nanchang	hot	lɛt⁵	lɛt⁵	l ɛ t ⁵	l ɛ t ⁵	HOT	59	405	362	216	熱	熱		熱	i n c t	
181	Meixian	hot	sau³³	sau³³	s au ³³	s a u ³³	HOT	59	405	362	216	熱	熱		熱	i n N t	
182	Guilin	hot	lie⁵⁵	lje⁵⁵	l j e ⁵⁵	l i e ⁵⁵	HOT	59	405	362	216	熱	熱		熱	i m n t	
183	Guangzhou	hot	it²	it²	i t ²	i t ²	HOT	59	405	362	216	熱	熱		熱	n c t	
184	Fuzhou	hot	ieʔ⁵	jeʔ⁵	j e ʔ ⁵	i e ʔ ⁵	HOT	59	405	362	216	熱	熱		熱	m n c t	
185	Xiamen	hot	liat⁵	ljat⁵	l j a t ⁵	l i a t ⁵	HOT	59	405	362	216	熱	熱		熱	i m n c t	
186	Beijing	person	ʐən³⁵	ʐən³⁵	ʐ ə n ³⁵	ʐ ə n ³⁵	PERSON	38	677	582	303	人	人		人	i n c t	
187	Ha_erbin	person	in²⁴	in²⁴	i n ²⁴	i n ²⁴	PERSON	38	677	582	303	人	人		人	n c t	
188	Jinan	person	ʐẽ⁵³	ʐẽ⁵³	ʐ ẽ ⁵³	ʐ ẽ ∼ ⁵³	PERSON	38	677	582	303	人	人		人	i n c t	
189	Rongcheng	person	in⁵²	in⁵²	i n ⁵²	i n ⁵²	PERSON	38	677	582	303	人	人		人	n c t	
190	Taiyuan	person	zəŋ²¹	zəŋ²¹	z ə ŋ ²¹	z ə ŋ ²¹	PERSON	38	677	582	303	人	人		人	i n c t	
191	Xi_an	person	ʐẽ²⁴	ʐẽ²⁴	ʐ ẽ ²⁴	ʐ ẽ ∼ ²⁴	PERSON	38	677	582	303	人	人		人	i n c t	
192	Chengdu	person	zən²¹	zən²¹	z ə n ²¹	z ə n ²¹	PERSON	38	677	582	303	人	人		人	i n c t	
193	Nanjing	person	ʐɛn¹³	ʐɛn¹³	ʐ ɛ n ¹³	ʐ ɛ n ¹³	PERSON	38	677	582	303	人	人		人	i n c t	
194	Jixi	person	iɑ̃⁴⁴	jɑ̃⁴⁴	j ɑ̃ ⁴⁴	i ɑ̃ ∼ ⁴⁴	PERSON	38	677	582	303	人	人		人	m n c t	
195	Suzhou	person	ȵin¹³	ɲin¹³	ɲ i n ¹³	ɲ i n ¹³	PERSON	38	677	582	303	人	人		人	i n c t	
196	Wenzhou	person	naŋ³⁴¹	naŋ³⁴¹	n a ŋ ³⁴¹	n a ŋ ³⁴¹	PERSON	38	677	582	303	人	人		人	i n c t	
197	Changsha	person	ʐən¹³	ʐən¹³	ʐ ə n ¹³	ʐ ə n ¹³	PERSON	38	677	582	303	人	人		人	i n c t	
198	Loudi	person	nin¹³	nin¹³	n i n ¹³	n i n ¹³	PERSON	38	677	582	303	人	人		人	i n c t	
199	Nanchang	person	lɨn⁴⁵	lɨn⁴⁵	l ɨ n ⁴⁵	l ɨ n ⁴⁵	PERSON	38	677	582	303	人	人		人	i n c t	
200	Meixian	person	ŋin¹¹	ŋin¹¹	ŋ i n ¹¹	ŋ i n ¹¹	PERSON	38	677	582	303	人	人		人	i n c t	
201	Guilin	person	liŋ²²	liŋ²²	l i ŋ ²²	l i ŋ ²²	PERSON	38	677	582	303	人	人		人	i n c t	
202	Guangzhou	person	iɐn²¹	jɐn²¹	j ɐ n ²¹	i ɐ n ²¹	PERSON	38	677	582	303	人	人		人	m n c t	
203	Fuzhou	person	nøyŋ⁵³	nøyŋ⁵³	n øy ŋ ⁵³	n ø y ŋ ⁵³	PERSON	38	677	582	303	人	人		人	i n N c t	
204	Xiamen	person	laŋ²⁴	laŋ²⁴	l a ŋ ²⁴	l a ŋ ²⁴	PERSON	38	677	582	303	人	人		人	i n c t	
205	Beijing	throw	ʐəŋ⁵⁵	ʐəŋ⁵⁵	ʐ ə ŋ ⁵⁵	ʐ ə ŋ ⁵⁵	THROW	60	963	836	465	仍	仍		扔	i n c t	
206	Ha_erbin	throw	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐ ə ŋ ⁴⁴	ʐ ə ŋ ⁴⁴	THROW	60	963	836	465	仍	仍		扔	i n c t	
207	Jinan	throw	ləŋ²¹⁴	ləŋ²¹⁴	l ə ŋ ²¹⁴	l ə ŋ ²¹⁴	THROW	60	963	836	465	仍	仍		扔	i n c t	
208	Rongcheng	throw	liau³³⁴	ljau³³⁴	l j au ³³⁴	l i a u ³³⁴	THROW	61	965	837	468	撂	撂		扔	i m n N t	
209	Taiyuan	throw	zəŋ⁵³	zəŋ⁵³	z ə ŋ ⁵³	z ə ŋ ⁵³	THROW	60	963	836	465	仍	仍		扔	i n c t	
210	Xi_an	throw	liɑu⁴⁴	ljɑu⁴⁴	l j ɑu ⁴⁴	l i ɑ u ⁴⁴	THROW	61	965	837	468	撂	撂		扔	i m n N t	
211	Chengdu	throw	zən⁴⁵	zən⁴⁵	z ə n ⁴⁵	z ə n ⁴⁵	THROW	60	963	836	465	仍	仍		扔	i n c t	
212	Chengdu	throw	suai⁵³	swai⁵³	s w ai ⁵³	s u a i ⁵³	THROW	62	967	838	472	甩	甩		扔	i m n N t	
213	Nanjing	throw	suə³¹	swə³¹	s w ə ³¹	s u ə ³¹	THROW	63	970	839	469	摔	摔		扔	i m n t	
214	Jixi	throw	pʰɤ⁵⁵	pʰɤ⁵⁵	pʰ ɤ ⁵⁵	pʰ ɤ ⁵⁵	THROW	64	969	840	467	拋	拋		扔	i n t	
215	Suzhou	throw	toʔ⁴	toʔ⁴	t o ʔ ⁴	t o ʔ ⁴	THROW _throw _throw _throw	65 66 67 65	966	841	470	?to?	? t o ?		扔	i n c t	
216	Wenzhou	throw	ga²²	ga²²	g a ²²	g a ²²	THROW	68	973	842	471	掼	掼		扔	i n t	
217	Changsha	throw	ʐən¹³	ʐən¹³	ʐ ə n ¹³	ʐ ə n ¹³	THROW	60	963	836	465	仍	仍		扔	i n c t	
218	Changsha	throw	ɕuai⁴¹	ɕwai⁴¹	ɕ w ai ⁴¹	ɕ u a i ⁴¹	THROW	62	967	838	472	甩	甩		扔	i m n N t	
219	Loudi	throw	liɤ¹¹	ljɤ¹¹	l j ɤ ¹¹	l i ɤ ¹¹	THROW	61	965	837	468	撂	撂		扔	i m n t	
220	Loudi	throw	iɔ³⁵	jɔ³⁵	j ɔ ³⁵	i ɔ ³⁵	THROW	8	968	53	473	囗	囗		扔	m n t	
221	Nanchang	throw	lɨn²¹	lɨn²¹	l ɨ n ²¹	l ɨ n ²¹	THROW	60	963	836	465	仍	仍		扔	i n c t	
222	Nanchang	throw	tiu⁴²	tju⁴²	t j u ⁴²	t i u ⁴²	THROW	69	964	843	466	丟	丟		扔	i m n t	
223	Meixian	throw	tiu³³	tju³³	t j u ³³	t i u ³³	THROW	69	964	843	466	丟	丟		扔	i m n t	
224	Guilin	throw	tiou⁴²	tjou⁴²	t j ou ⁴²	t i o u ⁴²	THROW	69	964	843	466	丟	丟		扔	i m n N t	
225	Guangzhou	throw	tiu⁵⁵	tju⁵⁵	t j u ⁵⁵	t i u ⁵⁵	THROW	69	964	843	466	丟	丟		扔	i m n t	
226	Fuzhou	throw	lieu⁵⁵	ljeu⁵⁵	l j eu ⁵⁵	l i e u ⁵⁵	THROW	69	964	843	466	丟	丟		扔	i m n N t	
227	Fuzhou	throw	kœʔ⁵	kœʔ⁵	k œ ʔ ⁵	k œ ʔ ⁵	THROW	8	968	53	473	囗	囗		扔	i n c t	
228	Fuzhou	throw	kʰœ³²	kʰœ³²	kʰ œ ³²	kʰ œ ³²	THROW	70	974	844	474	抾	抾		扔	i n t	
229	Xiamen	throw	liŋ⁵⁵	liŋ⁵⁵	l i ŋ ⁵⁵	l i ŋ ⁵⁵	THROW	60	963	836	465	仍	仍		扔	i n c t	
230	Beijing	white	pɛ³⁵	pɛ³⁵	p ɛ ³⁵	p ɛ ³⁵	WHITE	71	1076	926	515	白	白		白	i n t	
231	Ha_erbin	white	pai²⁴	pai²⁴	p ai ²⁴	p a i ²⁴	WHITE	71	1076	926	515	白	白		白	i n c t	
232	Jinan	white	pei⁵³	pei⁵³	p ei ⁵³	p e i ⁵³	WHITE	71	1076	926	515	白	白		白	i n N t	
233	Rongcheng	white	pɛ³³⁴	pɛ³³⁴	p ɛ ³³⁴	p ɛ ³³⁴	WHITE	71	1076	926	515	白	白		白	i n t	
234	Taiyuan	white	pai²¹	pai²¹	p ai ²¹	p a i ²¹	WHITE	71	1076	926	515	白～	白		白	i n c t	
235	Taiyuan	white	piə⁵⁴*	pjə⁵⁴	p j ə ⁵⁴	p i ə ⁵⁴*/⁵⁴	WHITE	71	1076	926	515	白～	白		白	i m n t	
236	Xi_an	white	pei²⁴	pei²⁴	p ei ²⁴	p e i ²⁴	WHITE	71	1076	926	515	白	白		白	i n N t	
237	Chengdu	white	pe²¹	pe²¹	p e ²¹	p e ²¹	WHITE	71	1076	926	515	白	白		白	i n t	
238	Nanjing	white	pəʔ⁵	pəʔ⁵	p ə ʔ ⁵	p ə ʔ ⁵	WHITE	71	1076	926	515	白	白		白	i n c t	
239	Jixi	white	pʰaʔ³²*	pʰaʔ³²	pʰ a ʔ ³²	pʰ a ʔ ³²*/³²	WHITE	71	1076	926	515	白	白		白	i n c t	
240	Suzhou	white	bɑʔ²³*	bɑʔ²³	b ɑ ʔ ²³	b ɑ ʔ ²³*/²³	WHITE	71	1076	926	515	白	白		白	i n c t	
241	Wenzhou	white	ba²¹	ba²¹	b a ²¹	b a ²¹	WHITE	71	1076	926	515	白	白		白	i n t	
242	Changsha	white	pə²⁴	pə²⁴	p ə ²⁴	p ə ²⁴	WHITE	71	1076	926	515	白	白		白	i n t	
243	Loudi	white	pʰɔ³⁵	pʰɔ³⁵	pʰ ɔ ³⁵	pʰ ɔ ³⁵	WHITE	71	1076	926	515	白	白		白	i n t	
244	Nanchang	white	pʰaʔ⁵	pʰaʔ⁵	pʰ a ʔ ⁵	pʰ a ʔ ⁵	WHITE	71	1076	926	515	白	白		白	i n c t	
245	Meixian	white	pʰak⁵	pʰak⁵	pʰ a k ⁵	pʰ a k ⁵	WHITE	71	1076	926	515	白	白		白	i n c t	
246	Guilin	white	piᴀ²²	pja̠²²	p j a̠ ²²	p i a̠ ²²	WHITE	71	1076	926	515	白	白		白	i m n t	
247	Guangzhou	white	pak²	pak²	p a k ²	p a k ²	WHITE	71	1076	926	515	白	白		白	i n c t	
248	Fuzhou	white	paʔ⁵	paʔ⁵	p a ʔ ⁵	p a ʔ ⁵	WHITE	71	1076	926	515	白	白		白	i n c t	
249	Xiamen	white	peʔ⁵	peʔ⁵	p e ʔ ⁵	p e ʔ ⁵	WHITE	71	1076	926	515	白	白		白	i n c t	
250	Beijing	back	pei⁵¹	pei⁵¹	p ei ⁵¹	p e i ⁵¹	BACK	72	20	17	13	背	背		背	i n N t	
251	Ha_erbin	back	pei⁵³	pei⁵³	p ei ⁵³	p e i ⁵³	BACK	72	20	17	13	背	背		背	i n N t	
252	Jinan	back	pei³¹	pei³¹	p ei ³¹	p e i ³¹	BACK	72	20	17	13	背	背		背	i n N t	
253	Rongcheng	back	pei⁵²	pei⁵²	p ei ⁵²	p e i ⁵²	BACK	72	20	17	13	背	背		背	i n N t	
254	Taiyuan	back	pei⁴⁵	pei⁴⁵	p ei ⁴⁵	p e i ⁴⁵	BACK	72	20	17	13	背	背		背	i n N t	
255	Xi_an	back	tɕi²¹ pei²⁴	tɕi²¹+pei²⁴	tɕ i ²¹ + p ei ²⁴	tɕ i ²¹ + p e i ²⁴	_back BACK	73 72	20	18	13	脊背	脊 背		背	i n t + i n N t	
256	Xi_an	back	pei²⁴	pei²⁴	p ei ²⁴	p e i ²⁴	BACK	72	20	17	13	背	背		背	i n N t	
257	Chengdu	back	pei²¹³	pei²¹³	p ei ²¹³	p e i ²¹³	BACK	72	20	17	13	背	背		背	i n N t	
258	Nanjing	back	pei⁴⁴	pei⁴⁴	p ei ⁴⁴	p e i ⁴⁴	BACK	72	20	17	13	背	背		背	i n N t	
259	Jixi	back	pa³⁵	pa³⁵	p a ³⁵	p a ³⁵	BACK	72	20	17	13	背	背		背	i n t	
260	Suzhou	back	pᴇ⁴¹²	pe̞⁴¹²	p e̞ ⁴¹²	p e̞ ⁴¹²	BACK	72	20	17	13	背	背		背	i n t	
261	Wenzhou	back	pai⁴²⁻³ dʑi²⁴⁻⁴⁴ saŋ⁴⁴⁻²¹	pai⁴²+dʑi²⁴+saŋ⁴⁴	p ai ⁴² + dʑ i ²⁴ + s a ŋ ⁴⁴	p a i ³/⁴² + dʑ i ⁴⁴/²⁴ + s a ŋ ²¹/⁴⁴	BACK _back _back	72 74 75	20	19	13	背骶身	背 骶 身		背	i n c t + i n t + i n c t	
262	Changsha	back	pei⁵⁵	pei⁵⁵	p ei ⁵⁵	p e i ⁵⁵	BACK	72	20	17	13	背	背		背	i n N t	
263	Loudi	back	pe³⁵	pe³⁵	p e ³⁵	p e ³⁵	BACK	72	20	17	13	背	背		背	i n t	
264	Nanchang	back	pei⁴⁵ tɕiaʔ⁰	pei⁴⁵+tɕjaʔ⁰	p ei ⁴⁵ + tɕ j a ʔ ⁰	p e i ⁴⁵ + tɕ i a ʔ ⁰	BACK _back	72 73	20	20	13	背脊	背 脊		背	i n N t + i m n c t	
265	Meixian	back	poi⁵³	poi⁵³	p oi ⁵³	p o i ⁵³	BACK	72	20	17	13	背	背		背	i n N t	
266	Guilin	back	pei²⁵	pei²⁵	p ei ²⁵	p e i ²⁵	BACK	72	20	17	13	背	背		背	i n N t	
267	Guangzhou	back	pui³³	pwi³³	p w i ³³	p u i ³³	BACK	72	20	17	13	背	背		背	i m n t	
268	Fuzhou	back	pʰiaŋ⁵⁵	pʰjaŋ⁵⁵	pʰ j a ŋ ⁵⁵	pʰ i a ŋ ⁵⁵	BACK	72	20	17	13	背	背		背	i m n c t	
269	Xiamen	back	ka⁵⁵⁻²² tsiaʔ³²*	ka⁵⁵+tsjaʔ³²	k a ⁵⁵ + ts j a ʔ ³²	k a ²²/⁵⁵ + ts i a ʔ ³²*/³²	back BACK	76 73	21	21	13	胛脊	胛 脊		背	i n t + i m n c t	
